"item","Zh","outfit","z.outfit","infit","z.infit","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2","X2_star","p.X2_star"
"Item1",1.68974772873846,0.908243737721099,-1.33040248320629,0.894527585720272,-1.78724162163907,34.919076151107,21,0.0303199112482808,0.0288177949332837,39.168124498053,0.026
"Item2",1.75251068878164,0.877113111286612,-1.80589892237476,0.897111913487188,-1.74358119680649,47.6367808137488,24,0.036959059466052,0.00279874741868758,124.851791469054,0.0052
"Item3",1.68843924138072,0.873058600842096,-2.02483286776568,0.898750875093702,-1.74250214595114,47.6743424030513,28,0.0312178841534305,0.0116143455325188,39.3799421935721,0.027
"Item4",2.65386501455131,0.747803231890265,-3.39576357967831,0.863545083571083,-2.37108655596816,30.3115997390666,21,0.0247990400518915,0.0859029924788093,32.4085458114518,0.0276
"Item5",1.98923890791729,0.852343132185508,-2.12821443517303,0.897448891791699,-1.72649098475734,46.6219037256212,23,0.0377420857667958,0.00250112328222313,39.9410247185617,0.0254
"Item6",2.32997782285748,0.871839385307836,-2.08479217295843,0.874221787920097,-2.26807955812559,42.40056266562,20,0.0394136661332035,0.00245153386145137,73.481109235722,0.011
"Item7",2.33854846484449,0.865646383283212,-2.03020983069444,0.877307579515371,-2.15187326976269,28.1125423738915,19,0.0257914255704873,0.0812865363407659,68.0907525215606,0.0134
"Item8",2.0055006508013,0.814538053815402,-2.62335930571801,0.895156186611018,-1.77541214479242,23.1012178608962,20,0.0146650486509438,0.283851902243083,17.0762851864564,0.2488
