"item","Zh","outfit","z.outfit","infit","z.infit","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2","X2_star","p.X2_star"
"Item66",2.49779521380484,0.789807159062856,-2.92870892773463,0.86744076960674,-2.10491533234616,35.7871874718587,15,0.0438414192175255,0.00189711528688654,110.368904636958,0.0042
"Item67",3.82502679608851,0.573965718166697,-3.54200234577772,0.713307643553639,-4.30229635593004,11.3969853712618,7,0.0295162281070714,0.122215693297409,12.902081125794,0.0406
"Item68",3.1399213148742,0.726884107152414,-2.7586222608258,0.800811352970245,-3.40488103361351,28.819419923929,11,0.0474004872750653,0.00242105477677059,61.7009469005711,0.0102
"Item69",2.55726287713044,0.824232387671946,-2.20263392940208,0.866001384419981,-2.24350948976238,23.9082488581827,12,0.0370992983158355,0.0209333970629581,60.2923424581041,0.0154
"Item70",2.37460138159879,0.783452788655719,-2.88652802818216,0.897915805057142,-1.68344339632331,30.390570064422,11,0.0494460169748978,0.00137546984306972,839.82079102663,2e-04
